ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB
411,Resignation-Other reasons,2013,2008,2008,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26-30,,,,,
412,Age Retirement,2012,Not Stated,Not Stated,School Administrative Staff,Primary,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,,,,,Yes
413,Resignation-Other reasons,2013,2008,2009,Cleaner,,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,41-45,,,,,
414,Age Retirement,2012,1988,1988,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,Yes
415,Resignation-Other employer,2013,1997,2009,Teacher,Primary,Darling Downs South West,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,
416,Resignation-Move overseas/interstate,2013,2011,2013,Teacher,Primary,Central Queensland,,Permanent Full-time,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,26-30,,,,,
417,Resignation-Other reasons,2012,1963,1989,Teacher,Special Education,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Female,61 or older,,,,,
418,Resignation-Other reasons,2013,2008,2011,Teacher Aide,Primary,South East,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,41-45,,,,,
419,Age Retirement,2013,Not Stated,Not Stated,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,Male,56-60,,,,,
420,Resignation-Other reasons,2013,2012,2012,Teacher Aide,,North Queensland,,Temporary Part-time,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,41-45,,,,Yes,
421,Age Retirement,2013,1970,1970,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,61 or older,,,,,
422,Age Retirement,2013,1972,1984,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
423,Age Retirement,2013,2005,2006,Cleaner,,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
424,Resignation-Other employer,2013,2008,2012,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,31-35,,,,,
425,Other,2013,2000,2006,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,
426,Other,2013,2009,2009,Teacher Aide,,Not Stated,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,26-30,,,,,
427,Other,2013,2010,2012,Teacher Aide,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,46-50,,,,,
428,Age Retirement,2013,1993,2003,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
429,Ill Health Retirement,2013,1984,1984,Cleaner,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,61 or older,,,,,Yes
430,Ill Health Retirement,2013,1976,1976,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,,,,,
431,Other,2012,2003,2004,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,41-45,,,,,
432,Age Retirement,2013,2002,2002,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
433,Resignation-Move overseas/interstate,2013,2008,2010,Technical Officer,,Central Office,,Permanent Full-time,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,True,False,Female,26-30,,,,,
434,Resignation-Other reasons,2013,1993,2002,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,Female,46-50,,,,,
435,Resignation-Other reasons,2013,2006,2010,Head of Curriculum/Head of Special Education,,Central Queensland,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,Female,26-30,,,,,
436,Age Retirement,2013,2003,2003,Cleaner,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,
437,Ill Health Retirement,2013,1986,2000,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,46-50,,,,Yes,
438,Resignation-Other reasons,2013,2002,2002,Teacher,Special Education,Darling Downs South West,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,Female,31-35,,,,Yes,
439,Resignation-Other employer,2013,Not Stated,Not Stated,Teacher,Secondary,North Queensland,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,21-25,,,,,
440,Resignation-Other reasons,2012,1992,2009,Teacher Aide,,South East,,Permanent Full-time,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,Female,56-60,,,,,
441,Age Retirement,2012,1993,1993,Guidance Officer,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,Yes
442,Resignation-Other reasons,2013,2010,2010,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,31-35,,,,,
443,Ill Health Retirement,2013,Not Stated,Not Stated,Schools Officer,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,56-60,,,,,
444,Age Retirement,2013,1977,1999,Deputy Principal,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
445,Age Retirement,2013,1986,2006,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,,,,,
446,Ill Health Retirement,2012,1999,2009,Teacher Aide,,North Coast,,Permanent Part-time,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,Male,61 or older,,,,Yes,
447,Age Retirement,2013,1987,2000,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
448,Termination,2012,2010,2010,Public Servant,AO8 and Above,Central Office,Information and Technologies,Temporary Full-time,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,31-35,Yes,,,,
449,Ill Health Retirement,2013,2003,2003,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,,,,,
450,Resignation-Other employer,2012,Not Stated,Not Stated,Teacher,Primary,South East,,Permanent Full-time,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,Male,36-40,,,,,
451,Age Retirement,2013,1970,1992,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,61 or older,,,,,
452,Resignation-Other reasons,2013,2009,2012,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,21-25,,,,,
453,Resignation-Move overseas/interstate,2013,1991,2007,Head of Curriculum/Head of Special Education,,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,41-45,,,,,
454,Age Retirement,2013,Not Stated,Not Stated,Cleaner,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
455,Resignation-Move overseas/interstate,2013,2013,2013,Public Servant,A01-A04,Central Office,Human Resources,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Female,56-60,,,,,
456,Other,2013,2009,2009,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,Female,26-30,,,,,
457,Resignation-Other reasons,2013,2013,2013,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,21-25,,,,,
458,Voluntary Early Retirement (VER),2013,1974,1982,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,Female,56-60,,,,,
459,Age Retirement,2013,1972,1989,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,56-60,,,,,
460,Resignation-Move overseas/interstate,2012,2011,2013,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,
461,Termination,2013,2009,2009,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,
462,Resignation-Other reasons,2013,2010,2010,Teacher Aide,,Not Stated,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,
463,Voluntary Early Retirement (VER),2013,1981,1981,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,
464,Ill Health Retirement,2013,1991,Not Stated,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,Female,41-45,,,,Yes,
465,Resignation-Other employer,2013,2002,2002,Teacher,Primary,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,
466,Age Retirement,2013,1991,2008,Teacher,Special Education,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,56-60,,,,,
467,Resignation-Other reasons,2013,2000,2013,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,41-45,,,,,
468,Age Retirement,2012,Not Stated,Not Stated,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
469,Ill Health Retirement,2013,1999,1999,Cleaner,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,,,,,
470,Other,2013,2010,2013,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,21-25,,,,,
471,Resignation-Other reasons,2013,1990,2013,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,Female,46-50,,,,Yes,
472,Resignation-Other reasons,2013,Not Stated,Not Stated,Teacher,Secondary,South East,,Permanent Part-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,,,,,
473,Age Retirement,2013,1970,1998,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,61 or older,,,,,
474,Resignation-Other reasons,2013,1997,1997,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,,,,,
475,Age Retirement,2013,2002,2009,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,61 or older,,,,,
476,Ill Health Retirement,2013,2005,2005,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,,,,,
477,Resignation-Other reasons,2013,2008,2011,Teacher,Secondary,Metropolitan,,Casual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,51-55,,,,,Yes
478,Resignation-Move overseas/interstate,2013,2004,2004,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,46-50,,,,,
479,Resignation-Other reasons,2013,2000,Not Stated,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,
480,Resignation-Other reasons,2013,2013,2013,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,26-30,Yes,,,,
481,Age Retirement,2013,1976,1976,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,61 or older,,,,,
482,Resignation-Other reasons,2012,1990,1990,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,41-45,,,,,
483,Age Retirement,2013,1999,2008,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
484,Age Retirement,2013,1975,2009,Head of Curriculum/Head of Special Education,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Female,61 or older,,,,,
485,Age Retirement,2013,1988,1988,Guidance Officer,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
486,Resignation-Move overseas/interstate,2012,2005,2010,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,46-50,,,,,
487,Resignation-Other reasons,2013,1993,1993,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,41-45,,,,,
488,Ill Health Retirement,2012,1993,2010,Teacher Aide,,North Coast,,Permanent Part-time,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Female,61 or older,,,,,
489,Age Retirement,2013,1987,1992,Guidance Officer,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,61 or older,,,,,
490,Resignation-Other reasons,2012,Not Stated,Not Stated,Cleaner,,Not Stated,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,46-50,,,,,
491,Age Retirement,2013,1970,2012,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,61 or older,,,,,
492,Ill Health Retirement,2013,1989,2005,Professional Officer,PO1-PO4,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,61 or older,,,,,
493,Resignation-Other reasons,2013,1974,2008,Teacher,Special Education,Central Queensland,,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,61 or older,,,,,
494,Other,2013,1996,1996,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
495,Resignation-Other employer,2012,1988,1988,Cleaner,,Central Queensland,,Permanent Part-time,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56-60,,,,,
496,Resignation-Other reasons,2013,2012,2012,Cleaner,,Central Queensland,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,Yes,
497,Ill Health Retirement,2013,2011,2012,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,Male,51-55,,,,,
498,Resignation-Move overseas/interstate,2013,2009,2009,Teacher,Primary,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Male,36-40,,,,,
499,Age Retirement,2013,1995,2010,Public Servant,A01-A04,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,51-55,,,,,
500,Resignation-Move overseas/interstate,2013,2013,2013,Public Servant,A01-A04,Central Office,Other,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Female,26-30,,,,,
501,Resignation-Other employer,2013,2002,2002,Teacher,Primary,Central Queensland,Education Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,,,,,
502,Ill Health Retirement,2013,1971,1971,Teacher,Secondary,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,61 or older,,,,,
503,Ill Health Retirement,2013,1977,1978,School Principal,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Female,56-60,,,,,
504,Resignation-Other reasons,2013,1972,2013,Teacher,Secondary,North Queensland,,Permanent Full-time,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,Male,61 or older,,,,,
505,Resignation-Move overseas/interstate,2013,2008,2011,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,36-40,,,,,
506,Resignation-Other reasons,2013,1989,Not Stated,Teacher,Special Education,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,46-50,,,,,
507,Resignation-Other reasons,2013,2009,2010,Public Servant,A01-A04,North Coast,,Permanent Full-time,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,21-25,,,,,
508,Ill Health Retirement,2013,1992,1994,Public Servant,A01-A04,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,46-50,,,,,
509,Ill Health Retirement,2013,Not Stated,Not Stated,Teacher Aide,Primary,Central Office,Early Childhood Education and Care,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,,
510,Age Retirement,2013,1995,1995,Teacher,Primary,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,51-55,,,,,
511,Other,2013,2013,2013,Other,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,36-40,,,,,
512,Age Retirement,2013,1970,1975,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
513,Age Retirement,2014,1977,1977,Teacher,Secondary,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,56-60,,,,,
514,Age Retirement,2013,1965,1975,Teacher,Secondary,Central Office,Education Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
515,Age Retirement,2013,2004,2004,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
516,Age Retirement,2013,1989,1999,Business Service Manager,,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
517,Age Retirement,2012,1963,1984,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
518,Resignation-Move overseas/interstate,2010,2007,2007,Teacher Aide,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,31-35,,,,,
519,Age Retirement,2012,1977,1988,Teacher,Primary,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,56-60,,,,,
520,Age Retirement,2013,1970,1978,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,56-60,,,,,
521,Ill Health Retirement,2013,1996,2000,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,51-55,,,,Yes,
522,Age Retirement,2013,1971,1986,Head of Curriculum/Head of Special Education,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,,,,,
523,Age Retirement,2013,1999,1999,Schools Officer,,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,,,,,
524,Age Retirement,2013,1974,1999,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,
525,Age Retirement,2012,1985,2008,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,Female,61 or older,,,,,
526,Age Retirement,2013,1992,1995,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
527,Age Retirement,2013,1970,2012,,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
528,Age Retirement,2012,1986,1986,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,Yes,Yes,Yes,Yes,Yes
529,Ill Health Retirement,2012,1969,1990,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,61 or older,,,,,
530,Age Retirement,2013,Not Stated,Not Stated,Schools Officer,,Central Office,Education Queensland,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,61 or older,,,,,
531,Age Retirement,2013,1975,1975,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,61 or older,,,,,
532,Resignation-Other reasons,2013,Not Stated,Not Stated,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,Female,56-60,,,,,
533,Voluntary Early Retirement (VER),2013,1990,1995,Teacher,Secondary,Central Office,Education Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,56-60,,,,,
534,Resignation-Move overseas/interstate,2013,1999,2012,Public Servant,AO8 and Above,Central Office,Indigenous Education and Training Futures,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,36-40,Yes,,Yes,,
535,Resignation-Other reasons,2012,2008,2008,Cleaner,,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,Yes,Yes
536,Age Retirement,2013,1974,1997,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,56-60,,,,,
537,Resignation-Other reasons,2013,2007,2012,Teacher Aide,,Metropolitan,Education Queensland,Permanent Full-time,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,Female,46-50,,,,,
538,Voluntary Early Retirement (VER),2013,1995,1996,Teacher Aide,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
539,Resignation-Other reasons,2013,Not Stated,Not Stated,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,26-30,,,,,
540,Resignation-Other reasons,2013,2007,2009,Public Servant,A01-A04,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,51-55,,,,,
541,Ill Health Retirement,2013,1998,2006,Teacher Aide,,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,46-50,,,,Yes,
542,Resignation-Other reasons,2013,1996,2012,Public Servant,A01-A04,South East,,Permanent Part-time,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Female,41-45,,,,,
543,Age Retirement,2013,2006,2007,Cleaner,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
544,Resignation-Other employer,2013,2011,2011,Professional Officer,PO1-PO4,South East,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,21-25,,,,,
545,Age Retirement,2013,1991,2009,Cleaner,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,
546,Age Retirement,2013,1975,2001,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56-60,,,,,
547,Other,2013,2009,2009,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,Male,61 or older,,,,,
548,Resignation-Other employer,2013,2010,2012,Teacher Aide,,Metropolitan,,Permanent Full-time,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,
549,Age Retirement,2013,1974,1986,Teacher,Secondary,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
550,Age Retirement,2013,1979,1979,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,51-55,,,,,
551,Resignation-Other reasons,2013,2000,2005,Teacher,Primary,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,36-40,,,,,
552,Resignation-Move overseas/interstate,2013,2011,2011,Schools Officer,,Central Office,Education Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,41-45,,,,,
553,Resignation-Other reasons,2013,2005,2013,Teacher,Special Education,Central Queensland,,Permanent Part-time,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,56-60,,,,,
